season,first_name,last_name,jersey,position,games_played,points,total_goals,1pt_goals,2pt_goals,scoring_points,assists,shots,shot_pct,shots_on_goal,sog_pct,2pt_shots,2pt_shot_pct,2pt_shots_on_goal,groundballs,turnovers,caused_turnovers,faceoffs,faceoff_wins,faceoff_losses,faceoff_pct,saves,save_pct,scores_against,scores_against_average,2pt_goals_against,2pt_gaa,time_on_field,total_penalties,penalty_minutes,power_play_goals,power_play_shots,short_handed_goals,short_handed_shots,short_handed_goals_against,power_play_goals_against
2021,Austin,Kaut,19.0,G,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,2,73.84615384615384,1,0.0,78,0,0.0,0,0,0,0,,0
2021,Josh,Byrne,22.0,A,9,29,17,17,0,17,12,67,0.2537313432835821,37,0.5522388059701493,7,0.0,3,19,22,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,1,,0
2021,Patrick,Resch,34.0,SSDM,9,3,0,0,0,0,3,3,0.0,1,0.3333333333333333,0,0.0,0,12,6,5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Ryan,Smith,43.0,A,5,9,7,7,0,7,2,13,0.5384615384615384,9,0.6923076923076923,0,0.0,0,5,3,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Matt,Rees,44.0,LSM,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,2,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,Kyle,Jackson,47.0,M,5,4,3,3,0,3,1,13,0.2307692307692307,8,0.6153846153846154,1,0.0,0,1,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,,0
2021,Kyle,Gallagher,52.0,FO,2,0,0,0,0,0,0,1,0.0,1,1.0,1,0.0,1,8,1,1,40,12,28,0.3,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Jake,Froccaro,54.0,M,6,10,3,1,2,5,5,24,0.125,12,0.5,10,0.2,6,7,7,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,3,0,0,,0
2021,Ian,MacKay,55.0,LSM,9,9,6,3,3,9,0,13,0.4615384615384615,7,0.5384615384615384,6,0.5,4,18,6,6,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,6,5.5,0,0,0,0,,0
2021,Dan,Coates,57.0,D,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,5,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Tanner,Cook,77.0,M,3,2,1,1,0,1,1,6,0.1666666666666666,3,0.5,0,0.0,0,2,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,1,0,0,,0
2021,Nick,Grill,,D,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,6,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Brian,Phipps,30.0,G,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,4,0,2,0,0,0,0.0,6,0.75,10,10.0,0,0.0,2880,0,0.0,0,0,0,0,,0
2021,Justin,Guterding,22.0,A,8,9,6,6,0,6,3,34,0.1764705882352941,22,0.6470588235294118,1,0.0,1,10,13,4,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,2,0,0,,0
2021,Eli,Salama,3.0,LSM,1,0,0,0,0,0,0,1,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Jackson,Morrill,4.0,A,9,22,16,16,0,16,6,40,0.4,26,0.65,0,0.0,0,18,22,3,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,2,0,0,,0
2021,Michael,Manley,5.0,D,9,4,2,1,1,3,1,8,0.25,6,0.75,4,0.25,3,14,6,7,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,3,3.0,0,0,0,0,,0
2021,Nick,Washuta,19.0,G,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Kyle,Thornton,19.0,D,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,6,4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Christian,Mazzone,6.0,M,8,10,6,6,0,6,4,18,0.3333333333333333,10,0.5555555555555556,0,0.0,0,12,14,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Jared,Conners,28.0,LSM,8,0,0,0,0,0,0,3,0.0,1,0.3333333333333333,1,0.0,1,12,3,3,3,0,3,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Kevin,Unterstein,13.0,M,12,0,0,0,0,0,0,2,0.0,2,1.0,0,0.0,0,10,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,6,4.0,0,0,0,0,,0
2021,Will,Haus,6.0,SSDM,7,0,0,0,0,0,0,5,0.0,2,0.4,1,0.0,0,10,1,6,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,Ryan,Beville,8.0,SSDM,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,3,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Joel,White,11.0,LSM,9,4,2,2,0,2,2,6,0.3333333333333333,5,0.8333333333333334,2,0.0,2,40,4,13,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,John,Galloway,15.0,G,9,1,0,0,0,0,1,2,0.0,0,0.0,2,0.0,0,22,6,4,0,0,0,0.0,118,0.559241706161137,99,12.375000000000002,6,0.0,23040,0,0.0,0,0,0,0,,5
2021,Dylan,Molloy,17.0,A,3,10,6,6,0,6,4,20,0.3,10,0.5,0,0.0,0,6,5,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Justin,Anderson,21.0,M,9,10,5,4,1,6,4,27,0.1851851851851851,19,0.7037037037037037,2,0.5,2,15,7,4,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,2.0,0,1,0,0,,0
2021,Ned,Crotty,22.0,M,9,9,0,0,0,0,9,26,0.0,8,0.3076923076923077,3,0.0,1,14,14,3,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,John,Moderski,24.0,D,9,0,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,17,1,9,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,2.0,0,0,0,0,,0
2021,Connor,Farrell,25.0,FO,9,2,2,2,0,2,0,2,1.0,2,1.0,0,0.0,0,58,11,1,217,104,113,0.4792626728110599,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,Brendan,Kavanagh,27.0,A,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,James,Barclay,28.0,D,9,1,0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,9,3,7,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Jordan,MacIntosh,29.0,M,9,19,16,16,0,16,3,50,0.32,33,0.66,3,0.0,3,17,11,2,8,3,5,0.375,0,0.0,0,0.0,0,0.0,0,1,0.5,1,4,0,0,,0
2021,John,Ranagan,31.0,M,9,8,4,4,0,4,4,24,0.1666666666666666,17,0.7083333333333334,4,0.0,2,3,14,2,1,0,1,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Jordan,Wolf,33.0,A,1,2,0,0,0,0,2,3,0.0,2,0.6666666666666666,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Ryan,Terefenko,34.0,SSDM,9,7,2,2,0,2,5,10,0.2,8,0.8,1,0.0,1,24,8,6,3,0,3,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Jesse,Bernhardt,36.0,D,3,1,0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,4,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Sean,Sconone,50.0,G,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,3,0,0,0,0,0,0.0,8,0.380952380952381,16,16.0,3,0.0,2880,0,0.0,0,0,0,0,,1
2021,Greg,Weyl,57.0,D,9,1,1,1,0,1,0,2,0.5,2,1.0,1,0.0,1,11,1,11,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,Kevin,Rogers,77.0,M,6,14,8,7,1,9,5,25,0.32,15,0.6,2,0.5,1,4,4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Donny,Moss,80.0,D,2,1,0,0,0,0,1,1,0.0,0,0.0,0,0.0,0,1,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Randy,Staats,83.0,A,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Tommy,Palasek,84.0,A,4,6,2,2,0,2,4,9,0.2222222222222222,5,0.5555555555555556,0,0.0,0,3,8,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Kyle,Hartzell,,LSM,3,1,0,0,0,0,1,1,0.0,0,0.0,1,0.0,0,2,1,2,4,2,2,0.5,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,Tim,Troutner,0.0,G,9,0,0,0,0,0,0,1,0.0,0,0.0,1,0.0,0,29,6,4,0,0,0,0.0,125,0.581395348837209,93,11.625000000000002,3,0.0,23040,0,0.0,0,0,0,0,,4
2021,Joe,Walters,1.0,M,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Jack,Near,2.0,SSDM,7,0,0,0,0,0,0,5,0.0,3,0.6,2,0.0,1,12,2,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,1,,0
2021,Rob,Pannell,3.0,A,9,29,13,13,0,13,16,68,0.1911764705882352,37,0.5441176470588235,0,0.0,0,16,20,4,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,3,1.5,1,4,0,0,,0
2021,Drew,Simoneau,5.0,FO,3,0,0,0,0,0,0,2,0.0,1,0.5,0,0.0,0,12,5,0,74,31,43,0.4189189189189189,0,0.0,0,0.0,0,0.0,0,2,2.0,0,0,0,0,,0
2021,TD,Ierlan,6.0,FO,8,0,0,0,0,0,0,7,0.0,2,0.2857142857142857,0,0.0,0,79,5,5,203,132,71,0.6502463054187192,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Jules,Heningburg,7.0,M,9,20,15,15,0,15,5,31,0.4838709677419355,27,0.8709677419354839,0,0.0,0,6,12,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,3,4,0,0,,0
